slug,title,price_cents,compare_at_cents,currency,video_url,image_count,categories,url
crackling-peony-3-pack,Crackling Peony (3 pack),674,,CAD,https://video.wixstatic.com/video/fa6517_81e2853efa6e4b4d903d93f6b04f9040/1080p/mp4/file.mp4,2,mini-floral-bombshell,https://www.pyrobobs.ca/product-page/crackling-peony-3-pack
crackling-thunder,Crackling Thunder,188,,CAD,https://video.wixstatic.com/video/fa6517_41573717350a4a3a8f4cc13bbc9a1339/480p/mp4/file.mp4,2,noise-maker,https://www.pyrobobs.ca/product-page/crackling-thunder
crazee-daisee,Crazee Daisee,1049,,CAD,https://video.wixstatic.com/video/fa6517_934dd1f3b9ce49688c60a739404f98c6/1080p/mp4/file.mp4,2,brazilian-shell,https://www.pyrobobs.ca/product-page/crazee-daisee
crazy-canuck,Crazy Canuck,1949,,CAD,https://video.wixstatic.com/video/fa6517_465808e23db54e87abc4aa3e1dd63839/1080p/mp4/file.mp4,2,cake,https://www.pyrobobs.ca/product-page/crazy-canuck
crazy-ghosts,Crazy Ghosts,6674,,CAD,https://video.wixstatic.com/video/fa6517_f90b2d0b491345a694d182eebdb0051b/480p/mp4/file.mp4,2,cake,https://www.pyrobobs.ca/product-page/crazy-ghosts
creeper,Creeper,4124,,CAD,https://video.wixstatic.com/video/fa6517_631c374aec23423cb21df9c6142e2ea2/480p/mp4/file.mp4,2,cake|specials,https://www.pyrobobs.ca/product-page/creeper
creepers-crypt,Creepers Crypt,6749,,CAD,,1,family-pack,https://www.pyrobobs.ca/product-page/creepers-crypt
custom-choreographed-package,Custom Choreographed Package,100,,CAD,,47,bobs-featured,https://www.pyrobobs.ca/product-page/custom-choreographed-package
d-day,D-Day,11249,,CAD,,1,family-pack,https://www.pyrobobs.ca/product-page/d-day
dancing-butterflies,Dancing Butterflies,2099,,CAD,https://video.wixstatic.com/video/fa6517_8cf75c91f1914208b50affdc843d497e/480p/mp4/file.mp4,2,barrage,https://www.pyrobobs.ca/product-page/dancing-butterflies
dancing-butterfly-3-pack,Dancing Butterfly (3 pack),449,,CAD,https://video.wixstatic.com/video/fa6517_5cbdccabe88648d184cca5b59f2cb850/1080p/mp4/file.mp4,2,fountain,https://www.pyrobobs.ca/product-page/dancing-butterfly-3-pack
dead-ringer,Dead Ringer,4649,,CAD,https://video.wixstatic.com/video/fa6517_cf8cd05f059647aab6876b21c54115ea/1080p/mp4/file.mp4,2,pro-pyro-cake-fanned,https://www.pyrobobs.ca/product-page/dead-ringer
devil-revenge,Devil Revenge,2999,,CAD,https://video.wixstatic.com/video/fa6517_b43ad126bfca48299e06b0cdc393d1c7/1080p/mp4/file.mp4,2,cake,https://www.pyrobobs.ca/product-page/devil-revenge
diablo,Diablo,4124,,CAD,https://video.wixstatic.com/video/fa6517_8bc3ecb465e14a829b814ec0491b6d71/480p/mp4/file.mp4,2,component-barrage|specials,https://www.pyrobobs.ca/product-page/diablo
diabolical,Diabolical,3749,,CAD,https://video.wixstatic.com/video/fa6517_1faa3bb050e2415daabaefdc13669c00/1080p/mp4/file.mp4,2,fanned-cake|specials,https://www.pyrobobs.ca/product-page/diabolical
